week,forecast,actual,residual,lower_bound,upper_bound,overstock_risk,stockout_risk,action
2012-02-05,23450.5,24123.7,-673.2,20345.2,26555.8,No,No,Monitor
2012-02-12,24234.8,23456.1,778.7,21123.4,27346.2,No,No,Monitor
2012-02-19,25123.4,28934.5,-3811.1,21897.6,28349.2,No,Yes,Increase Safety Stock
2012-02-26,24567.3,24012.8,554.5,21389.7,27744.9,No,No,Monitor
2012-03-04,26234.7,22134.5,4100.2,22845.6,29623.8,Yes,No,Review Forecast Model
2012-03-11,25678.9,25234.1,444.8,22356.7,28991.1,No,No,Monitor
2012-03-18,24890.3,24567.8,322.5,21678.9,28101.7,No,No,Monitor
2012-03-25,27123.5,26789.4,334.1,23634.2,30612.8,No,No,Monitor
2012-04-01,28456.7,31234.8,-2778.1,24789.3,32124.1,No,Yes,Increase Safety Stock
2012-04-08,26789.2,26123.5,665.7,23345.6,30232.8,No,No,Monitor
