Date,Store,Dept,Weekly_Sales,IsHoliday,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Type,Size,weekofyear,month,year,lag_1,lag_2,lag_4,lag_8,lag_13,lag_26,lag_52,roll_mean_4,roll_std_4,roll_min_4,roll_max_4,roll_mean_8,roll_std_8,roll_min_8,roll_max_8,roll_mean_12,roll_std_12,roll_min_12,roll_max_12,roll_mean_24,roll_std_24,roll_min_24,roll_max_24,diff_1,pct_change_1,holiday_window_3,yoy_change,fourier_sin_1,fourier_cos_1,fourier_sin_2,fourier_cos_2,fourier_sin_3,fourier_cos_3
2011-11-11,1,1,18689.54,False,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,A,151315,45,11,2011,39886.06,31579.9,23077.55,18535.48,14539.79,17235.15,19549.39,29473.827499999992,7984.186737484577,23077.55,39886.06,24178.168749999997,7752.653441679422,17859.3,39886.06,21306.325833333332,7539.7762343881805,14537.37,39886.06,18461.985416666666,5979.645880460152,14537.37,39886.06,-21196.519999999997,-0.5314267691519292,0,-0.04398346956094275,-0.7485107481711011,0.6631226582407952,-0.992708874098054,-0.12053668025532294,-0.5680647467311574,-0.8229838658936552
2011-11-18,1,1,19050.66,False,62.25,3.308,6074.12,254.39,51.98,427.39,5988.57,218.2205088,7.866,A,151315,46,11,2011,18689.54,39886.06,23351.8,17859.3,14689.24,15136.78,19552.84,28376.824999999997,9341.958157736504,18689.54,39886.06,24197.42625,7736.809882660077,17859.3,39886.06,21639.684166666666,7305.407039509676,14537.37,39886.06,18584.81625,5951.547033180094,14537.37,39886.06,361.119999999999,0.019322037888573007,1,-0.0256832255570035,-0.6631226582407955,0.7485107481711007,-0.9927088740980541,0.12053668025532208,-0.8229838658936556,-0.568064746731157
2011-11-25,1,1,20911.25,True,60.14,3.236,410.31,98.0,55805.51,8.0,554.92,218.4676211,7.866,A,151315,47,11,2011,19050.66,18689.54,31579.9,18337.68,14537.37,15741.6,18820.29,27301.539999999997,10310.481280302405,18689.54,39886.06,24346.34625,7607.773573908152,18337.68,39886.06,22015.791666666668,7017.001363810923,15277.27,39886.06,18693.837499999998,5934.3779862221945,14537.37,39886.06,1860.5900000000001,0.09766538272164849,1,0.1111013698513678,-0.5680647467311559,0.8229838658936564,-0.9350162426854149,0.35460488704253534,-0.9709418174260526,-0.23931566428755563
2011-12-02,1,1,25293.49,False,48.91,3.172,5629.51,68.0,1398.11,2084.64,20475.32,218.7147333,7.866,A,151315,48,12,2011,20911.25,19050.66,39886.06,20797.58,15277.27,16434.15,22517.56,24634.377499999995,10214.27908180951,18689.54,39886.06,24668.0425,7368.0336549928315,18689.54,39886.06,22485.289999999997,6706.771228041927,17746.68,39886.06,18903.326250000002,5919.581171981386,14537.37,39886.06,4382.240000000002,0.20956375156913154,1,0.12327845468159072,-0.4647231720437684,0.88545602565321,-0.8229838658936562,0.5680647467311561,-0.9927088740980542,0.12053668025532184
2011-12-09,1,1,33305.92,False,43.93,3.158,4640.65,19.0,105.02,3639.42,14461.82,218.9618456,7.866,A,151315,49,12,2011,25293.49,20911.25,18689.54,23077.55,17746.68,15883.52,31497.65,20986.234999999997,3032.014011010903,18689.54,25293.49,25230.03125,7200.19338389192,18689.54,39886.06,23114.19083333333,6574.564975363858,17859.3,39886.06,19333.134583333333,5996.180730230061,14537.37,39886.06,8012.429999999997,0.3167783488953084,0,0.0574096797697605,-0.35460488704253595,0.9350162426854147,-0.6631226582407957,0.7485107481711006,-0.8854560256532104,0.46472317204376756
2011-12-16,1,1,45773.03,False,51.63,3.159,5011.32,67.0,347.37,225.79,4011.37,219.1794533,7.866,A,151315,50,12,2011,33305.92,25293.49,19050.66,23351.8,18535.48,14978.09,44912.86,24640.329999999994,6342.17408541159,19050.66,33305.92,26508.5775,7657.012218704684,18689.54,39886.06,24345.060833333333,7007.789236379583,17859.3,39886.06,20067.430833333332,6580.33795944099,14537.37,39886.06,12467.11,0.37432114170693986,0,0.019151975625689353,-0.2393156642875578,0.970941817426052,-0.4647231720437686,0.8854560256532099,-0.663122658240796,0.7485107481711004
2011-12-23,1,1,46788.75,False,47.96,3.112,2725.36,40.48,634.7,24.9,2739.43,219.3577216,7.866,A,151315,51,12,2011,45773.03,33305.92,20911.25,31579.9,17859.3,15682.81,55931.23,31320.922499999993,10916.269972932963,20911.25,45773.03,29311.23125,10062.119873372949,18689.54,45773.03,26671.205,9006.874236370297,18337.68,45773.03,21334.494583333333,8330.24752047723,14537.37,45773.03,1015.7200000000012,0.02219035969434402,1,-0.163459305293304,-0.12053668025532363,0.992708874098054,-0.2393156642875589,0.9709418174260518,-0.35460488704253645,0.9350162426854145
2011-12-30,1,1,23350.88,True,44.55,3.129,5762.1,46011.38,260.36,983.65,4735.78,219.5359898,7.866,A,151315,52,12,2011,46788.75,45773.03,25293.49,39886.06,18337.68,15363.5,19124.58,37790.29749999999,10343.693808562348,25293.49,46788.75,31212.3375,11832.925965843606,18689.54,46788.75,29042.127500000002,10269.877907112741,18689.54,46788.75,22611.15625,9731.060093589067,14537.37,46788.75,-23437.87,-0.5009296038043333,1,0.22098785960266834,6.432490598706546e-16,1.0,1.2864981197413093e-15,1.0,-7.347880794884119e-16,1.0
2012-01-06,1,1,16567.69,False,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483.0,219.7142581,7.348,A,151315,1,1,2012,23350.88,46788.75,33305.92,18689.54,20797.58,16148.87,15984.24,37304.645,11140.902887709148,23350.88,46788.75,29145.440000000002,11541.969924739886,18689.54,46788.75,29254.9025,10108.721575118938,18689.54,46788.75,22931.82416666667,9618.009211012475,14537.37,46788.75,-6783.190000000002,-0.29048969460679863,1,0.03650157905536947,0.12053668025532305,0.992708874098054,0.23931566428755774,0.970941817426052,0.3546048870425356,0.9350162426854148
2012-01-13,1,1,16894.4,False,48.53,3.261,5183.29,8025.87,42.24,453.08,3719.38,219.8925263,7.348,A,151315,2,1,2012,16567.69,23350.88,45773.03,19050.66,23077.55,15654.85,17359.7,33120.087499999994,15452.600284129887,16567.69,46788.75,28880.20875,11837.17303081325,16567.69,46788.75,28712.41416666667,10631.526550463412,16567.69,46788.75,22965.202916666665,9593.420195660581,14537.37,46788.75,326.71000000000276,0.01971970745469065,0,-0.026803458585113755,0.23931566428755774,0.970941817426052,0.4647231720437685,0.8854560256532099,0.6631226582407952,0.7485107481711011
2012-01-20,1,1,18365.1,False,54.11,3.268,4139.87,2807.19,33.88,500.62,3400.21,219.9856893,7.348,A,151315,3,1,2012,16894.4,16567.69,46788.75,20911.25,23351.8,15766.6,17341.47,25900.429999999993,14271.541961696574,16567.69,46788.75,28610.67625,12114.271737703119,16567.69,46788.75,28174.297499999997,11081.423295364948,16567.69,46788.75,23005.7025,9564.403445015694,14537.37,46788.75,1470.699999999997,0.08705251444265527,0,0.05902786787971247,0.3546048870425356,0.9350162426854148,0.6631226582407952,0.7485107481711011,0.8854560256532099,0.4647231720437686
2012-01-27,1,1,18378.16,False,54.26,3.29,1164.46,1082.74,44.0,11.0,1222.19,220.0788523,7.348,A,151315,4,1,2012,18365.1,16894.4,23350.88,25293.49,31579.9,15922.41,18461.18,18794.517499999994,3136.5610599972515,16567.69,23350.88,28292.4075,12376.067724685126,16567.69,46788.75,27073.064166666667,11365.206128252272,16567.69,46788.75,23133.600416666664,9476.941939110608,14537.37,46788.75,13.06000000000131,0.0007111314395240598,0,-0.0044970039834940365,0.4647231720437685,0.8854560256532099,0.8229838658936564,0.5680647467311559,0.992708874098054,0.120536680255323
2012-02-03,1,1,23510.49,False,56.55,3.36,34577.06,3579.21,160.53,32403.87,5630.4,220.1720153,7.348,A,151315,5,2,2012,18378.16,18365.1,16567.69,33305.92,39886.06,15295.55,21665.76,17551.337499999994,956.551817044467,16567.69,18378.16,27427.991250000003,12847.959482097243,16567.69,46788.75,25280.739166666666,10844.883012442877,16567.69,46788.75,23293.5325,9357.239962504378,14537.37,46788.75,5132.330000000002,0.2792624506479431,1,0.08514494760396142,0.5680647467311558,0.8229838658936564,0.9350162426854148,0.35460488704253557,0.9709418174260521,-0.2393156642875575
2012-02-10,1,1,36988.49,True,48.02,3.409,13925.06,6927.23,101.64,8471.88,6886.04,220.2651783,7.348,A,151315,6,2,2012,23510.49,18378.16,16894.4,45773.03,18689.54,14539.79,37887.17,19287.0375,2900.47652924327,16894.4,23510.49,26203.5625,12673.331975442143,16567.69,46788.75,25682.484999999997,10666.342314928177,16567.69,46788.75,23661.084583333333,9176.064245305948,14537.37,46788.75,13477.999999999996,0.5732760142387503,1,-0.023719903070089435,0.6631226582407952,0.7485107481711011,0.992708874098054,0.120536680255323,0.8229838658936565,-0.5680647467311557
2012-02-17,1,1,54060.1,False,45.32,3.51,9873.33,11062.27,9.8,8409.31,3402.66,220.4257586,7.348,A,151315,7,2,2012,36988.49,23510.49,18365.1,46788.75,19050.66,14689.24,46845.87,24310.559999999998,8792.267160435134,18365.1,36988.49,25105.495,11006.478537587367,16567.69,46788.75,27177.30416666667,10906.671337507538,16567.69,46788.75,24596.547916666663,9348.282645285573,15277.27,46788.75,17071.61,0.46153844074197137,1,0.1539992746425671,0.7485107481711011,0.6631226582407953,0.992708874098054,-0.12053668025532288,0.5680647467311558,-0.8229838658936564
2012-02-24,1,1,20124.22,False,57.25,3.555,9349.61,7556.01,3.2,1219.92,8143.59,220.636902,7.348,A,151315,8,2,2012,54060.1,36988.49,18378.16,23350.88,20911.25,14537.37,19363.83,33234.31,15948.513669632857,18378.16,54060.1,26014.41375,13145.311633249905,16567.69,54060.1,29939.708333333332,13143.823409237331,16567.69,54060.1,26212.499166666665,10891.87916759362,16567.69,54060.1,-33935.88,-0.6277435668820441,0,0.0392685744504057,0.8229838658936564,0.5680647467311559,0.9350162426854148,-0.35460488704253545,0.23931566428755768,-0.970941817426052
